Device,Parent Device,Sensor,Location,Time,Value,Units,Status
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 4:00:00 AM",23.9,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 5:00:00 AM",24.6,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 6:00:00 AM",24.6,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 7:00:00 AM",24.7,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 8:00:00 AM",24.4,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 9:00:00 AM",24.5,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 10:00:00 AM",24.6,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 11:00:00 AM",24.1,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 12:00:00 PM",24.2,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 1:00:00 PM",24.3,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 2:00:00 PM",24.5,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 3:00:00 PM",24.3,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 4:00:00 PM",24.1,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 5:00:00 PM",24,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 6:00:00 PM",24.4,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 7:00:00 PM",24.3,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 8:00:00 PM",24.1,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 9:00:00 PM",24.6,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 10:00:00 PM",24.4,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 11:00:00 PM",24.4,° C,
